productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"019525","ZANAHORIA CAMPFRES BANDEJA 200G","","701575344871",11400.0000,10400.0000,1000.0000,30,"192.168.123.231"
"001676","DIANE-35 2MG/35MCG 21TAB (P)(SC)(SF)","100005415","7896116865618",11400.0000,8917.9040,2482.0960,30,"192.168.123.231"
"024998","HINDU TE 20G DESPUES COMIDA 20U","","7702746040014",11400.0000,8092.1099,3307.8901,30,"192.168.123.231"
"014676","CEPILLO DENTAL COLGATE EXTRA CLEAN","200030692","7702010130625",11400.0000,8046.0000,3354.0000,30,"192.168.123.231"
"010397","HINDU INFUSION 16G 10U","","7702746049581",11400.0000,7815.1400,3584.8600,30,"192.168.123.231"
"028030","HINDU INFUSION 16G SUPERBLENDS 10U","","7702746049598",11400.0000,7712.5100,3687.4900,30,"192.168.123.231"
"019166","LEGRIP 1SBS 500MG NOCHE PANELA ICOM CJAX24SBS","100025202","7704768000991",11400.0000,6655.3234,4744.6766,30,"192.168.123.231"
"000499","DOLEX PEDIATRICO 100MG 10TAB NIÑOS 2+ CJAX100TAB","100001921","7451079000867",11350.0000,9514.9400,1835.0600,30,"192.168.123.231"
"019855","PAPEL VINILPEL 50MT CAJA","","7709995000462",11300.0000,7720.1255,3579.8745,30,"192.168.123.231"
"018849","GEL LIQUIDO BABARIA 600ML ACEITE OLIVA BAÑO","200038248","8410412047364",11250.0000,8635.4400,2614.5600,30,"192.168.123.231"
"016195","VITAMINA C BEARS 25U GOMAS CEREZA ICOM","200034336","7707200904772",11250.0000,7092.0000,4158.0000,30,"192.168.123.231"
"017249","VITAMINA C 25U GOMAS ICOM","200034338","7707200904710",11250.0000,7092.0000,4158.0000,30,"192.168.123.231"
"025870","SUPER CAN ADULTO 2KL CARNE RAZA MEDIANA","","7707025858748",11200.0000,9161.0000,2039.0000,30,"192.168.123.231"
"027729","HARINA KARAVAN AVENA 1LB GARBANZO","","7707357440314",11200.0000,9025.0000,2175.0000,30,"192.168.123.231"
"030093","ARANDANOS SUDESPENSA 250G","","7707309255690",11200.0000,8916.5000,2283.5000,30,"192.168.123.231"
"011381","PLATOS DARNEL 25.OZ 20U HONDO","","7702458014242",11200.0000,8482.5228,2717.4772,30,"192.168.123.231"
"002366","CREMA SOPERA 42.5G 3P CHAMPIÑON DISX18U","","7702354930929",11200.0000,7917.2289,3282.7711,30,"192.168.123.231"
"030837","GUANTES COORATIENDAS C25 T8 1/2 INDUSTRIAL NEGRO","","7703672017040",11200.0000,7875.7600,3324.2400,30,"192.168.123.231"
"025790","FRESCO FRUTIÑO 9LT","","7702354953133",11200.0000,7761.5100,3438.4900,30,"192.168.123.231"
"024935","MANI ESPE KRAK ORIG 25G","24935","7702007062588",11200.0000,7117.8845,4082.1155,30,"192.168.123.231"
"019252","CHOCOLATINA JET 45G LECHE TRADICIONAL 1U","","7702007079470",11200.0000,7010.8844,4189.1156,30,"192.168.123.231"
"020542","GOMAS GRISLY 45G BOMBON","","7702011155399",11200.0000,6947.7346,4252.2654,30,"192.168.123.231"
"030008","CIRUELA SUDESPENSA 250G PASA","","7707309257113",11200.0000,6792.5113,4407.4887,30,"192.168.123.231"
"000374","PEPSAMAR 10TAB CJA 100TAB","100007908","7706127006439",11200.0000,4411.4881,6788.5119,30,"192.168.123.231"
"014179","PROTECTORES NOSOTRAS 15U LARGOS SIN ALAS","200038469","7702027440922",11100.0000,10681.1168,418.8832,30,"192.168.123.231"
"017956","LINAZA SOLSEMILLA 400G MOLIDA ZIPER","","7707332230763",11100.0000,8571.1861,2528.8139,30,"192.168.123.231"
"004330","HINDU AROMATICA 18G MANZANILLA MIEL Y JENGIBRE 20U","","7702746036017",11100.0000,7961.3232,3138.6768,30,"192.168.123.231"
"030792","EFEXOR-XR 37.5MG CJAX7CAP","100006181","6091403223428",11100.0000,3101.0000,7999.0000,30,"192.168.123.231"
"017203","DIOSMIT 3G 1SBS CJAX6SBS","100021373","7709990568288",11000.0000,9284.0002,1715.9998,30,"192.168.123.231"
