REF,UNIDAD,MEDIDA,CANTIDAD
4607,OFE,Mililitro,800
3050,UND,Gramo,140
8993,UND,Gramo,420
4094,UND,Gramo,140
16621,UND,Gramo,140
16752,UND,Gramo,140
6224,UND,Gramo,100
6225,UND,Gramo,100
14149,UND,Gramo,45
14148,UND,Mililitro,45
14938,PAQ,Gramo,540
18922,PAQ,Gramo,270
14393,UND,Mililitro,90
14658,UND,Gramo,90
14333,OFE,Gramo,360
5098,OFE,Gramo,54
4609,UND,Gramo,460
9644,CJA,Mililitro,1080
12645,PAQ,Mililitro,800
3334,UND,Mililitro,1100
6730,PAQ,Mililitro,6600
9895,PAQ,Mililitro,7800
26581,PAQ,Mililitro,7800
5404,UND,Mililitro,1100
5064,UND,Mililitro,1100
10467,6UN,Mililitro,6600
9916,BSA,Mililitro,1300
3443,PAQ,Mililitro,7800
22861,PAQ,Mililitro,7800
13681,OFE,Mililitro,6000
14761,UND,Mililitro,2200
6729,PAQ,Mililitro,6600
12374,BSA,Mililitro,1100
25549,6UN,Mililitro,1100
3335,UND,Mililitro,900
15028,BSA,Mililitro,1100
8477,UND,Mililitro,750
16709,BSA,Mililitro,1100
16509,BSA,Mililitro,6600
24171,UND,Mililitro,1300
24170,PAQ,Mililitro,1300
7044,BSA,Mililitro,1000
6277,UND,Gramo,50
5349,UND,Gramo,100
5347,UND,Mililitro,10
5346,UND,Gramo,12
5348,UND,Gramo,4
2763,UND,Gramo,30
16287,UND,Mililitro,250
16450,FCO,Mililitro,400
16451,FCO,Mililitro,400
16452,FCO,Mililitro,400
16453,FCO,Mililitro,400
16288,FCO,Mililitro,400
16454,FCO,Mililitro,400
16289,FCO,Mililitro,400
16781,UND,Mililitro,400
24667,UND,Mililitro,40
18292,UND,Mililitro,80
24978,UND,Mililitro,80
27288,UND,Mililitro,40
24257,FCO,Mililitro,40
17107,FCO,Mililitro,250
17106,FCO,Mililitro,300
21299,FCO,Mililitro,300
17104,FCO,Mililitro,300
17105,FCO,Mililitro,300
26931,UND,Mililitro,400
17161,FCO,Mililitro,40
8320,FCO,Mililitro,277
8322,FCO,Mililitro,277
8319,FCO,Mililitro,277
8321,FCO,Mililitro,277
25519,UND,Mililitro,100
5796,OFE,Gramo,20
17877,UND,Gramo,170
17111,UND,Gramo,170
17878,UND,Gramo,180
10578,UND,Gramo,21
870,UND,Mililitro,21
13429,UND,Mililitro,21
13428,UND,Mililitro,21
17948,UND,Mililitro,21
20052,UND,Mililitro,21
10577,UND,Mililitro,21
8551,PAQ,Mililitro,84
14748,PAQ,Mililitro,21
6523,UND,Mililitro,21
7151,OFE,Mililitro,42
7434,UND,Mililitro,21
5363,UND,Mililitro,21
26067,UND,Mililitro,21
5136,UND,Mililitro,21
19443,OFE,Mililitro,21
13327,PAQ,Mililitro,21
5245,UND,Mililitro,21
19442,OFE,Mililitro,21
17274,OFE,Mililitro,63
5138,UND,Mililitro,21
4683,OFE,Mililitro,30
17403,UND,Mililitro,21
23168,OFE,Mililitro,250
15886,UND,Mililitro,270
14013,UND,Gramo,270
26247,UND,Mililitro,270
7223,UND,Mililitro,275
21222,OFE,Mililitro,275
7222,UND,Mililitro,275
10888,OFE,Mililitro,275
7568,FCO,Mililitro,360
8577,FCO,Mililitro,360
6587,UND,Mililitro,360
7431,FCO,Mililitro,360
13938,FCO,Mililitro,360
10574,FCO,Mililitro,360
10796,FCO,Mililitro,360
6588,UND,Mililitro,360
7432,FCO,Mililitro,360
7153,UND,Mililitro,360
19453,FCO,Mililitro,400
17869,OFE,Mililitro,400
21341,OFE,Mililitro,400
12153,UND,Mililitro,400
8841,UND,Mililitro,400
14281,FCO,Mililitro,400
15861,FCO,Mililitro,400
15340,UND,Mililitro,400
15338,FCO,Mililitro,400
15281,FCO,Mililitro,400
6586,UND,Mililitro,360
19441,FCO,Mililitro,400
9001,UND,Mililitro,400
14363,UND,Gramo,70
12817,UND,Gramo,70
13153,UND,Gramo,70
21223,UND,Gramo,70
5631,UND,Mililitro,7
7150,UND,Mililitro,7
7148,UND,Mililitro,7
7149,UND,Mililitro,7
19919,UND,Mililitro,7
11176,UND,Gramo,8
13152,UND,Gramo,8
10576,UND,Gramo,8
10575,UND,Mililitro,80
12155,UND,Gramo,8
17949,UND,Mililitro,8
17950,UND,Mililitro,8
7435,UND,Mililitro,8
17951,UND,Mililitro,8
9017,UND,Mililitro,8
21536,FCO,Gramo,96
5135,UND,Gramo,9
2087,OFE,Gramo,9
5797,OFE,Gramo,9
5244,UND,Mililitro,21
6056,PAQ,Gramo,18
6875,BLI,Gramo,9
13326,OFE,Gramo,9
8552,UND,Mililitro,9
8150,PAQ,Mililitro,18
8151,UND,Gramo,9
7433,UND,Gramo,9
14828,FCO,Mililitro,400
14673,OFE,Mililitro,800
23883,2UN,Mililitro,800
19702,FCO,Mililitro,400
10915,FCO,Mililitro,250
10463,FCO,Mililitro,250
10462,FCO,Mililitro,250
7425,UND,Mililitro,9
7424,UND,Mililitro,9
14464,FCO,Mililitro,240
14463,FCO,Mililitro,240
5243,UND,Gramo,30
4286,UND,Gramo,48
7803,FCO,Mililitro,120
7784,FCO,Mililitro,170
11839,CJA,Gramo,25
7296,CJA,Gramo,25
9553,CJA,Gramo,10
6282,CJA,Gramo,10
7870,CJA,Gramo,10
11870,CJA,Gramo,5
6283,CJA,Gramo,5
7871,CJA,Gramo,5
21243,FCO,Mililitro,3800
8533,FCO,Mililitro,75
8600,FCO,Mililitro,90
7152,UND,Mililitro,100
26585,CJA,Gramo,875
14811,FCO,Mililitro,473
8463,PAQ,Gramo,250
5788,UND,Gramo,500
18779,BSA,Gramo,20
5739,UND,Gramo,250
21423,SBS,Gramo,5
5129,KLS,Gramo,1000
8239,CJA,Gramo,500
26330,CJA,Gramo,1
6355,FCO,Mililitro,30
7683,FCO,Gramo,300
21176,UND,Mililitro,120
1292,CJA,Gramo,500
